Solvent,dD,dP,dH,Result,ResultRevised
S1,16.0,9.0,5.1,Y,0
S2,14.9,0.0,0.0,N,0
S3,18.0,1.4,2.0,N,0
S4,20.0,18.0,4.1,N,0
S5,15.3,18.0,6.1,N,0
S6,14.7,12.3,22.3,N,0
S7,15.8,8.2,10.8,Y,0
S8,17.4,4.1,13.5,Y,0
S9,17.4,13.7,11.3,Y,0
S10,15.8,3.7,6.3,Y,0
S11,15.8,8.8,19.4,Y,0
S12,16.0,6.8,17.4,Y,0
S13,16.8,0.0,0.2,N,0
S14,15.6,5.6,9.8,Y,0
S15,16.8,5.7,8.0,Y,0
S16,17.0,7.3,7.1,Y,0
S17,18.0,12.3,7.2,Y,0
S18,18.0,16.6,7.4,N,0
S19,17.5,1.8,9.0,Y,0
S20,15.9,5.5,11.6,Y,0
S21,16.2,5.1,9.2,Y,0
S22,14.5,2.9,4.6,Y,0
